Query,Impressions,Clicks,CTR,Avg_Position,Date,New
google mobile friendly website test,3,0,0.0,8.3,20/05/2015,false
check mobile google,2,0,0.0,8.5,20/05/2015,false
google mobile-friendly,2,0,0.0,22.0,20/05/2015,false
google mobile friendy,2,0,0.0,25.0,20/05/2015,true
redirect checker bulk,2,0,0.0,8.0,20/05/2015,false
mobil check google,2,0,0.0,9.0,20/05/2015,false
check website mobile friendly,2,0,0.0,10.0,20/05/2015,false
google mobile friendly site checker,2,0,0.0,8.0,20/05/2015,false
mobile test friendly,2,0,0.0,21.0,20/05/2015,false
google url check,2,0,0.0,11.0,20/05/2015,false
http status codes,2,0,0.0,93.0,20/05/2015,false
google mobile firendly test,2,0,0.0,11.0,20/05/2015,false
google mobile friendly website checker,2,0,0.0,8.0,20/05/2015,false
mobile friendly checker tool,2,0,0.0,5.0,20/05/2015,false
check mobile friendly website,2,0,0.0,14.0,20/05/2015,false
google friendly test,2,0,0.0,13.0,20/05/2015,false
google mobile friendly score,2,0,0.0,3.0,20/05/2015,false
google check if mobile friendly,2,0,0.0,5.0,20/05/2015,false
mobile-friendliness,2,0,0.0,6.5,20/05/2015,false
mobile friendly url,2,0,0.0,6.0,20/05/2015,false
google’s mobile-friendly tool,2,0,0.0,8.0,20/05/2015,false
check google mobile,2,0,0.0,6.0,20/05/2015,false
google friendly,2,0,0.0,31.0,20/05/2015,false
mobile friendly google test,2,0,0.0,20.0,20/05/2015,false
google mobile friendly url,2,0,0.0,6.0,20/05/2015,false
http status code checker,2,0,0.0,11.0,20/05/2015,false
mobile page checker,2,0,0.0,7.0,20/05/2015,false
mobile tool google,2,0,0.0,48.0,20/05/2015,true
google mobile freindly test,2,0,0.0,10.0,20/05/2015,false
check for mobile friendly,2,0,0.0,5.5,20/05/2015,false
mobile friendly site checker,2,0,0.0,7.0,20/05/2015,false
http response code checker,1,0,0.0,13.0,20/05/2015,true
header status checker,1,0,0.0,19.0,20/05/2015,false
tes mobile friendly,1,0,0.0,6.0,20/05/2015,true
mobile-friendly test google,1,0,0.0,12.0,20/05/2015,false
bulk url redirect checker,1,0,0.0,9.0,20/05/2015,false
google mobile frindly test,1,0,0.0,8.0,20/05/2015,false
google mobile-friendly tool,1,0,0.0,7.0,20/05/2015,false
check google friendly,1,0,0.0,7.0,20/05/2015,false
google mobilefriendly test,1,0,0.0,7.0,20/05/2015,false
google mobile firendly,1,0,0.0,9.0,20/05/2015,false
mobile-friendly-test,1,0,0.0,12.0,20/05/2015,false
mobile friendly site check,1,0,0.0,11.0,20/05/2015,true
mobiel friendly test,1,0,0.0,35.0,20/05/2015,false
google mobile friendly websites,1,0,0.0,44.0,20/05/2015,true
google mobile friendly testing,1,0,0.0,8.0,20/05/2015,true
google mobile friendly site check,1,0,0.0,8.0,20/05/2015,false
google tool mobile friendly,1,0,0.0,12.0,20/05/2015,false
mobile frendly test,1,0,0.0,27.0,20/05/2015,false
bulk check,1,0,0.0,15.0,20/05/2015,false
mobile-friendly google,1,0,0.0,10.0,20/05/2015,false
google check website mobile friendly,1,0,0.0,7.0,20/05/2015,false
bulk status code checker,1,0,0.0,4.0,20/05/2015,false
check mobile friendly site,1,0,0.0,10.0,20/05/2015,false
google tool to check mobile friendly,1,0,0.0,8.0,20/05/2015,true
test mobile frendly,1,0,0.0,28.0,20/05/2015,true
google mobiel check,1,0,0.0,9.0,20/05/2015,false
google test mobile friendliness,1,0,0.0,9.0,20/05/2015,false
mobile friendly test tool,1,0,0.0,19.0,20/05/2015,false
mobilefriendly test google,1,0,0.0,18.0,20/05/2015,true
urlscore,1,0,0.0,50.0,20/05/2015,false
google mobile test tool,1,0,0.0,10.0,20/05/2015,true
google mobiel checker,1,0,0.0,2.0,20/05/2015,false
google friendly mobile,1,0,0.0,17.0,20/05/2015,false
google mobile tester,1,0,0.0,10.0,20/05/2015,false
check website for mobile friendly,1,0,0.0,8.0,20/05/2015,false
bulk 301 redirect checker,1,0,0.0,13.0,20/05/2015,false
mobile friendly testing tool google,1,0,0.0,9.0,20/05/2015,false
mobile friendly test by google,1,0,0.0,7.0,20/05/2015,false
check website is mobile friendly,1,0,0.0,9.0,20/05/2015,false
mobile site checker,1,0,0.0,23.0,20/05/2015,false
mobile friendliness google,1,0,0.0,19.0,20/05/2015,true
bulk http status checker,1,0,0.0,4.0,20/05/2015,false
googe mobile friendly,1,0,0.0,25.0,20/05/2015,false
status checker,1,0,0.0,42.0,20/05/2015,false
mobile friendly website check,1,0,0.0,13.0,20/05/2015,false
bulk server header checker,1,0,0.0,5.0,20/05/2015,false
mobile freindly test,1,0,0.0,15.0,20/05/2015,false
mobilefriendly test,1,0,0.0,26.0,20/05/2015,false
google's mobile friendly test,1,0,0.0,7.0,20/05/2015,false
mobile friendly tester,1,0,0.0,10.0,20/05/2015,false
google mobile freindly tool,1,0,0.0,8.0,20/05/2015,false
check google mobile site,1,0,0.0,7.0,20/05/2015,false
http status -1,1,0,0.0,28.0,20/05/2015,false
test google mobile friendly,1,0,0.0,15.0,20/05/2015,false
google mobile site tester,1,0,0.0,8.0,20/05/2015,false
google mobile checker tool,1,0,0.0,7.0,20/05/2015,false
httpstatus,1,0,0.0,42.0,20/05/2015,false
mobile friendliness,1,0,0.0,6.0,20/05/2015,false
test for mobile friendly,1,0,0.0,7.0,20/05/2015,false
googlemobile,1,0,0.0,62.0,20/05/2015,false
mobile friendly google tool,1,0,0.0,12.0,20/05/2015,false
mobile fiendly test,1,0,0.0,8.0,20/05/2015,false
mobile friendl,1,0,0.0,8.0,20/05/2015,true
url status checker,1,0,0.0,8.0,20/05/2015,false
check if mobile friendly,1,0,0.0,4.0,20/05/2015,false
mobile google checker,1,0,0.0,6.0,20/05/2015,false
google mobil check,1,0,0.0,8.0,20/05/2015,false
mobile frendly,1,0,0.0,7.0,20/05/2015,false
google mobiel friendly test,1,0,0.0,12.0,20/05/2015,false
mobile friendly test page,1,0,0.0,7.0,20/05/2015,false
google checker,1,0,0.0,54.0,20/05/2015,false
bulk http checker,1,0,0.0,3.0,20/05/2015,false
mobile freindly,1,0,0.0,8.0,20/05/2015,false
mobile site check google,1,0,0.0,6.0,20/05/2015,true
mobil friendly test,1,0,0.0,22.0,20/05/2015,false
mobile friendly test,995,2,0.002,9.3,21/05/2015,false
mobile friendly,279,2,0.0072,8.8,21/05/2015,false
bulk http status checker,6,2,0.3333,2.7,21/05/2015,false
google mobile friendly,249,1,0.004,10.0,21/05/2015,false
google mobile friendly checker,43,1,0.0233,4.0,21/05/2015,false
check mobile friendly,41,1,0.0244,6.5,21/05/2015,false
test mobile friendly,38,1,0.0263,9.2,21/05/2015,false
mobile friendly website checker,14,1,0.0714,6.1,21/05/2015,false
mobile checker,7,1,0.1429,8.6,21/05/2015,false
mobile friendly site checker,4,1,0.25,6.8,21/05/2015,false
urlitor,2,1,0.5,1.0,21/05/2015,false
mobile friendly score,2,1,0.5,3.5,21/05/2015,false
google mobile friendly test,516,0,0.0,7.7,21/05/2015,false
google mobile check,110,0,0.0,7.3,21/05/2015,false
google mobile checker,84,0,0.0,4.1,21/05/2015,false
google mobile friendly tool,45,0,0.0,7.0,21/05/2015,false
mobile friendly checker,38,0,0.0,3.8,21/05/2015,false
google mobile friendly check,35,0,0.0,5.3,21/05/2015,false
mobile friendly test google,32,0,0.0,7.6,21/05/2015,false
google check mobile friendly,31,0,0.0,5.6,21/05/2015,false
mobile friendly check,26,0,0.0,7.0,21/05/2015,false
http status checker,25,0,0.0,8.4,21/05/2015,false
mobile-friendly test,24,0,0.0,9.5,21/05/2015,false
mobile friendly tool,21,0,0.0,8.6,21/05/2015,false
google mobile tool,18,0,0.0,5.7,21/05/2015,false
google mobile friendly tester,16,0,0.0,7.6,21/05/2015,false
redirect checker,15,0,0.0,48.0,21/05/2015,false
mobile check google,14,0,0.0,6.9,21/05/2015,false
google mobile site checker,13,0,0.0,8.0,21/05/2015,false
mobile-friendly,13,0,0.0,8.7,21/05/2015,false
check google mobile friendly,11,0,0.0,6.2,21/05/2015,false
mobile friendly website test,11,0,0.0,9.9,21/05/2015,false
google check mobile,11,0,0.0,6.4,21/05/2015,false
google mobile friendly test tool,11,0,0.0,7.8,21/05/2015,false
mobile friendly testing tool,10,0,0.0,11.0,21/05/2015,false
google test mobile friendly,10,0,0.0,8.5,21/05/2015,false
google friendly test,9,0,0.0,9.7,21/05/2015,false
check website for mobile friendly,9,0,0.0,7.4,21/05/2015,false
mobile freindly test,9,0,0.0,9.6,21/05/2015,false
google mobile-friendly test,8,0,0.0,10.0,21/05/2015,false
mobile checker google,8,0,0.0,3.9,21/05/2015,false
test google mobile friendly,8,0,0.0,8.3,21/05/2015,false
check if site is mobile friendly,7,0,0.0,8.6,21/05/2015,false
check website mobile friendly,7,0,0.0,9.4,21/05/2015,false
mobilefriendly test,7,0,0.0,9.7,21/05/2015,false
mobile friendly tester,7,0,0.0,8.9,21/05/2015,false
mobilefriendly,7,0,0.0,10.0,21/05/2015,false
google mobile site tester,7,0,0.0,9.1,21/05/2015,false
mobile friendly checker google,6,0,0.0,3.7,21/05/2015,false
mobile friendly check google,5,0,0.0,3.0,21/05/2015,false
google mobile score,5,0,0.0,5.0,21/05/2015,false
check google mobile,5,0,0.0,6.0,21/05/2015,false
mobile friendliness,5,0,0.0,6.6,21/05/2015,false
mobile friendly google test,5,0,0.0,9.2,21/05/2015,false
http status code checker,5,0,0.0,10.0,21/05/2015,false
google mobile freindly test,5,0,0.0,8.6,21/05/2015,false
http status check,4,0,0.0,9.0,21/05/2015,false
check mobile google,4,0,0.0,7.5,21/05/2015,false
header response checker,4,0,0.0,26.0,21/05/2015,false
google mobile friendly testing tool,4,0,0.0,6.5,21/05/2015,false
bulk redirect checker,4,0,0.0,4.5,21/05/2015,false
check if website is mobile friendly,4,0,0.0,7.8,21/05/2015,false
google mobile friendly site checker,4,0,0.0,4.3,21/05/2015,false
mobile frendly test,4,0,0.0,9.0,21/05/2015,false
google tools mobile friendly,4,0,0.0,7.8,21/05/2015,false
bulk status code checker,4,0,0.0,4.0,21/05/2015,false
google test website mobile friendly,4,0,0.0,8.5,21/05/2015,false
status checker,4,0,0.0,53.0,21/05/2015,false
mobile friendly google check,4,0,0.0,5.5,21/05/2015,false
google mobile website checker,3,0,0.0,8.7,21/05/2015,false
bulk url redirect checker,3,0,0.0,7.3,21/05/2015,false
mobilefriendlytest,3,0,0.0,9.0,21/05/2015,false
mobiel friendly test,3,0,0.0,11.0,21/05/2015,false
mobile friendly testing,3,0,0.0,9.3,21/05/2015,false
googles mobile friendly test,3,0,0.0,9.0,21/05/2015,false
google mobile friendly testing,3,0,0.0,10.0,21/05/2015,false
movile friendly test,3,0,0.0,7.3,21/05/2015,true
bulk checker,3,0,0.0,22.0,21/05/2015,false
friendly mobile,3,0,0.0,8.7,21/05/2015,false
google mobile friendliness test,3,0,0.0,8.3,21/05/2015,false
google's mobile friendly test,3,0,0.0,9.0,21/05/2015,false
check mobile friendly google,3,0,0.0,6.0,21/05/2015,false
website mobile friendly,3,0,0.0,43.0,21/05/2015,true
bulk url checker,3,0,0.0,17.0,21/05/2015,false
google check for mobile friendly,3,0,0.0,4.7,21/05/2015,false
google check if website is mobile friendly,3,0,0.0,5.3,21/05/2015,false
mobile friendly google,3,0,0.0,15.0,21/05/2015,false
google mobile friendly website test,3,0,0.0,7.7,21/05/2015,false
mobile friendlyness,3,0,0.0,8.0,21/05/2015,false
google friendly mobile test,3,0,0.0,10.0,21/05/2015,false
mobile freindly,3,0,0.0,8.0,21/05/2015,false
google mobile cheker,2,0,0.0,3.0,21/05/2015,false
check mobile friendly tool,2,0,0.0,7.5,21/05/2015,false
mobile-friendly test tool,2,0,0.0,10.0,21/05/2015,false
mobile friendliness tool,2,0,0.0,7.0,21/05/2015,false
mobile friendliness checker,2,0,0.0,4.0,21/05/2015,false
google mobile friendly tst,2,0,0.0,7.0,21/05/2015,false
mobile friendly tst,2,0,0.0,10.0,21/05/2015,false
test friendly mobile,2,0,0.0,8.5,21/05/2015,true
google mobile website check,2,0,0.0,10.0,21/05/2015,false
moble friendly,2,0,0.0,6.5,21/05/2015,true
mobile test friendly,2,0,0.0,7.0,21/05/2015,false
mobile google check,2,0,0.0,8.0,21/05/2015,false
moblie friendly test,2,0,0.0,10.0,21/05/2015,false
google mobile frendly test,2,0,0.0,11.0,21/05/2015,false
friendly mobile test,2,0,0.0,9.5,21/05/2015,false
test website mobile friendly,2,0,0.0,14.0,21/05/2015,true
googe mobile friendly test,2,0,0.0,7.5,21/05/2015,false
google mobile friendly check tool,2,0,0.0,4.0,21/05/2015,false
google mobile firendly test,2,0,0.0,9.5,21/05/2015,false
check mobile friendly site,2,0,0.0,10.0,21/05/2015,false
mobile friendly とは,2,0,0.0,10.0,21/05/2015,true
mobile frindly test,2,0,0.0,7.5,21/05/2015,false
google check mobile site,2,0,0.0,8.5,21/05/2015,false
mobile friendly testing tool google,2,0,0.0,7.5,21/05/2015,false
test friendly,2,0,0.0,10.0,21/05/2015,true
moblie friendly,2,0,0.0,8.0,21/05/2015,false
google mobile test page,2,0,0.0,9.0,21/05/2015,false
mobile friendly tester google,2,0,0.0,6.0,21/05/2015,false
mobile friendly?,2,0,0.0,8.0,21/05/2015,false
google friendly,2,0,0.0,20.0,21/05/2015,false
test for mobile friendly,2,0,0.0,7.5,21/05/2015,false
mobile friendly tools,2,0,0.0,8.0,21/05/2015,false
googlemobile,2,0,0.0,40.0,21/05/2015,false
"""mobile friendly""",2,0,0.0,10.0,21/05/2015,false
mobile friendl,2,0,0.0,8.0,21/05/2015,false
google mobile-friendly test tool,2,0,0.0,8.5,21/05/2015,false
check if mobile friendly,2,0,0.0,5.5,21/05/2015,false
mobile google checker,2,0,0.0,5.0,21/05/2015,false
google mobil check,2,0,0.0,6.0,21/05/2015,false
mobile frendly,2,0,0.0,9.0,21/05/2015,false
google mobile friendy test,2,0,0.0,8.0,21/05/2015,false
test site mobile friendly,2,0,0.0,10.0,21/05/2015,false
google mobile,2,0,0.0,42.0,21/05/2015,false
teste mobile friendly,2,0,0.0,8.0,21/05/2015,true
test mobile friendly google,2,0,0.0,7.0,21/05/2015,false
bulk http checker,2,0,0.0,3.0,21/05/2015,false
google mobile check tool,2,0,0.0,4.0,21/05/2015,false
mobil friendly test,2,0,0.0,15.0,21/05/2015,false
google url checker,1,0,0.0,20.0,21/05/2015,false
mobile score google,1,0,0.0,5.0,21/05/2015,false
bulk da checker,1,0,0.0,18.0,21/05/2015,false
google mobile test friendly,1,0,0.0,6.0,21/05/2015,false
google test for mobile friendly,1,0,0.0,8.0,21/05/2015,false
google check if site is mobile friendly,1,0,0.0,7.0,21/05/2015,false
tes mobile friendly,1,0,0.0,9.0,21/05/2015,false
bulk google search,1,0,0.0,27.0,21/05/2015,true
mobile-friendly test google,1,0,0.0,12.0,21/05/2015,false
google mobile page checker,1,0,0.0,6.0,21/05/2015,false
http checker,1,0,0.0,10.0,21/05/2015,false
mobile firendly,1,0,0.0,7.0,21/05/2015,false
google mobile site check,1,0,0.0,11.0,21/05/2015,false
how to check if website is mobile friendly,1,0,0.0,9.0,21/05/2015,true
google mobilefriendly test,1,0,0.0,14.0,21/05/2015,false
redirect checker bulk,1,0,0.0,8.0,21/05/2015,false
mobil check google,1,0,0.0,8.0,21/05/2015,false
mobile-friendly-test,1,0,0.0,14.0,21/05/2015,false
mobile firnedly test,1,0,0.0,7.0,21/05/2015,false
check http status code,1,0,0.0,34.0,21/05/2015,false
mobile friendliness test,1,0,0.0,6.0,21/05/2015,false
status code checker,1,0,0.0,12.0,21/05/2015,false
google url check,1,0,0.0,11.0,21/05/2015,false
mobile friendly page test,1,0,0.0,9.0,21/05/2015,false
google mobil friendly test,1,0,0.0,8.0,21/05/2015,false
http status codes,1,0,0.0,95.0,21/05/2015,false
google mobile friendliness tool,1,0,0.0,6.0,21/05/2015,false
google mobile friendly analyzer,1,0,0.0,3.0,21/05/2015,false
google mobile friendly site check,1,0,0.0,10.0,21/05/2015,false
mobile frienldy,1,0,0.0,5.0,21/05/2015,true
test mobile friendliness,1,0,0.0,8.0,21/05/2015,false
googel mobile friendly,1,0,0.0,10.0,21/05/2015,true
google mobile friendly website checker,1,0,0.0,7.0,21/05/2015,false
google friendly checker,1,0,0.0,5.0,21/05/2015,false
bulk check,1,0,0.0,21.0,21/05/2015,false
mobile-friendly google,1,0,0.0,9.0,21/05/2015,false
google mobile friendly test page,1,0,0.0,8.0,21/05/2015,false
mobile friednly,1,0,0.0,7.0,21/05/2015,false
google check website mobile friendly,1,0,0.0,7.0,21/05/2015,false
google test if mobile friendly,1,0,0.0,6.0,21/05/2015,false
google frendly test,1,0,0.0,7.0,21/05/2015,true
mobile friendly checker tool,1,0,0.0,5.0,21/05/2015,false
check mobile friendly website,1,0,0.0,9.0,21/05/2015,false
http response checker,1,0,0.0,16.0,21/05/2015,false
mobile friendly tet,1,0,0.0,10.0,21/05/2015,false
google mobile friendl test,1,0,0.0,7.0,21/05/2015,true
mobile frinedly,1,0,0.0,10.0,21/05/2015,false
google url tester,1,0,0.0,23.0,21/05/2015,false
server response code checker,1,0,0.0,18.0,21/05/2015,false
mobile friendly test tool,1,0,0.0,12.0,21/05/2015,false
check http status,1,0,0.0,12.0,21/05/2015,false
urlscore,1,0,0.0,49.0,21/05/2015,false
google mobile frienldy test,1,0,0.0,7.0,21/05/2015,false
bulk da cheker,1,0,0.0,14.0,21/05/2015,false
google mobile test tool,1,0,0.0,11.0,21/05/2015,false
mobile friendly test by google,1,0,0.0,18.0,21/05/2015,false
check website is mobile friendly,1,0,0.0,9.0,21/05/2015,false
mobile site checker,1,0,0.0,21.0,21/05/2015,false
mobile frinedly test,1,0,0.0,10.0,21/05/2015,false
mobie friendly test,1,0,0.0,10.0,21/05/2015,false
page checker,1,0,0.0,170.0,21/05/2015,false
mobile friendly url,1,0,0.0,5.0,21/05/2015,false
google mobile analyzer,1,0,0.0,9.0,21/05/2015,false
google mobile freindly tool,1,0,0.0,7.0,21/05/2015,false
google.com mobile friendly test,1,0,0.0,20.0,21/05/2015,true
check google mobile site,1,0,0.0,18.0,21/05/2015,false
googl mobile friendly,1,0,0.0,10.0,21/05/2015,true
mobile friedly,1,0,0.0,7.0,21/05/2015,true
mobile frindly,1,0,0.0,9.0,21/05/2015,false
mobile-friendly checker,1,0,0.0,3.0,21/05/2015,false
check site mobile friendly,1,0,0.0,11.0,21/05/2015,false
mobil friendly,1,0,0.0,7.0,21/05/2015,false
friendly test,1,0,0.0,13.0,21/05/2015,false
mobile firendly test,1,0,0.0,9.0,21/05/2015,false
http code checker,1,0,0.0,10.0,21/05/2015,false
google mobile friendliness,1,0,0.0,16.0,21/05/2015,false
mobile website checker google,1,0,0.0,7.0,21/05/2015,false
mobile friendly google tool,1,0,0.0,7.0,21/05/2015,false
check mobile friendliness,1,0,0.0,8.0,21/05/2015,false
bulk header checker,1,0,0.0,5.0,21/05/2015,false
tool google mobile friendly,1,0,0.0,9.0,21/05/2015,false
mobile frienly test,1,0,0.0,14.0,21/05/2015,false
google's mobile-friendly test,1,0,0.0,7.0,21/05/2015,false
mobile tool google,1,0,0.0,9.0,21/05/2015,false
google mobile friendly tes,1,0,0.0,8.0,21/05/2015,false
google mobile freindly checker,1,0,0.0,5.0,21/05/2015,false
mobile friendy test,1,0,0.0,10.0,21/05/2015,false
google mobiel friendly test,1,0,0.0,12.0,21/05/2015,false
google’s mobile-friendly test,1,0,0.0,7.0,21/05/2015,false
website mobile friendly checker,1,0,0.0,7.0,21/05/2015,false
mobile friendly test page,1,0,0.0,6.0,21/05/2015,false
google website mobile friendly test,1,0,0.0,7.0,21/05/2015,true
check for mobile friendly,1,0,0.0,5.0,21/05/2015,false
googlemobile friendly test,1,0,0.0,9.0,21/05/2015,false
bulk mobile,1,0,0.0,3.0,21/05/2015,false
mobile friendly site tester,1,0,0.0,9.0,21/05/2015,false
google mobile friendly site,1,0,0.0,18.0,21/05/2015,true
test mobile friendly,43,2,0.0465,8.4,22/05/2015,false
bulk url checker,6,2,0.3333,10.0,22/05/2015,false
bulk status code checker,2,2,1.0,4.0,22/05/2015,false
mobile friendly test,791,1,0.0013,8.8,22/05/2015,false
google mobile friendly test,452,1,0.0022,7.7,22/05/2015,false
google mobile checker,55,1,0.0182,4.1,22/05/2015,false
http status checker,13,1,0.0769,8.1,22/05/2015,false
mobile checker,13,1,0.0769,7.8,22/05/2015,false
bulk redirect checker,8,1,0.125,5.8,22/05/2015,false
bulk url redirect checker,3,1,0.3333,9.0,22/05/2015,false
google mobile freindly test,3,1,0.3333,7.7,22/05/2015,false
http status code checker,2,1,0.5,11.0,22/05/2015,false
urlitor,1,1,1.0,1.0,22/05/2015,false
mobile friendly,234,0,0.0,8.7,22/05/2015,false
google mobile friendly,108,0,0.0,10.0,22/05/2015,false
google mobile check,95,0,0.0,7.1,22/05/2015,false
mobile friendly test google,57,0,0.0,7.8,22/05/2015,false
mobile friendly check,30,0,0.0,7.1,22/05/2015,false
google mobile friendly checker,30,0,0.0,3.9,22/05/2015,false
google mobile friendly check,29,0,0.0,5.4,22/05/2015,false
google mobile friendly tool,25,0,0.0,6.4,22/05/2015,false
check mobile friendly,20,0,0.0,6.3,22/05/2015,false
mobile-friendly test,19,0,0.0,9.6,22/05/2015,false
mobile-friendly,19,0,0.0,9.2,22/05/2015,false
google check mobile friendly,18,0,0.0,4.9,22/05/2015,false
mobile friendly checker,17,0,0.0,4.1,22/05/2015,false
google friendly test,16,0,0.0,8.8,22/05/2015,false
mobile friendly tool,15,0,0.0,7.5,22/05/2015,false
mobile check google,14,0,0.0,6.7,22/05/2015,false
mobile friendly tester,13,0,0.0,9.0,22/05/2015,false
google check mobile,12,0,0.0,6.4,22/05/2015,false
google mobile site checker,12,0,0.0,8.0,22/05/2015,false
mobile friendly website checker,10,0,0.0,6.8,22/05/2015,false
redirect checker,10,0,0.0,45.0,22/05/2015,false
google's mobile friendly test,10,0,0.0,8.6,22/05/2015,false
google test mobile friendly,10,0,0.0,8.9,22/05/2015,false
google mobile tool,9,0,0.0,6.1,22/05/2015,false
mobile friendly google test,8,0,0.0,9.6,22/05/2015,false
google mobile friendly tester,7,0,0.0,7.3,22/05/2015,false
check mobile google,7,0,0.0,7.1,22/05/2015,false
mobile freindly test,7,0,0.0,8.7,22/05/2015,false
check mobile friendly google,7,0,0.0,6.1,22/05/2015,false
mobilefriendly,7,0,0.0,15.0,22/05/2015,false
google mobile friendly test tool,7,0,0.0,7.6,22/05/2015,false
google test for mobile friendly,6,0,0.0,8.7,22/05/2015,false
mobile friendly testing tool,6,0,0.0,10.0,22/05/2015,false
mobile friendly check google,6,0,0.0,3.7,22/05/2015,false
mobile frendly test,6,0,0.0,8.2,22/05/2015,false
mobile freindly,6,0,0.0,8.2,22/05/2015,false
check google mobile friendly,5,0,0.0,6.4,22/05/2015,false
check if site is mobile friendly,5,0,0.0,8.8,22/05/2015,false
google mobile-friendly test,5,0,0.0,9.4,22/05/2015,false
check if website is mobile friendly,5,0,0.0,8.0,22/05/2015,false
google tool mobile friendly,5,0,0.0,8.0,22/05/2015,false
google mobile friendliness test,5,0,0.0,8.4,22/05/2015,false
mobilefriendly test,5,0,0.0,10.0,22/05/2015,false
mobile friendly google,5,0,0.0,18.0,22/05/2015,false
test mobile friendly google,5,0,0.0,7.0,22/05/2015,false
mobil friendly test,5,0,0.0,12.0,22/05/2015,false
google mobile website checker,4,0,0.0,7.3,22/05/2015,false
mobile friendliness test,4,0,0.0,7.8,22/05/2015,false
check http status,4,0,0.0,12.0,22/05/2015,false
google mobile test tool,4,0,0.0,11.0,22/05/2015,false
moblie friendly,4,0,0.0,7.8,22/05/2015,false
test google mobile friendly,4,0,0.0,9.3,22/05/2015,false
mobile friendliness,4,0,0.0,5.8,22/05/2015,false
bulk header checker,4,0,0.0,7.8,22/05/2015,false
google url checker,3,0,0.0,15.0,22/05/2015,false
google mobile test friendly,3,0,0.0,7.3,22/05/2015,false
check mobile friendly tool,3,0,0.0,7.7,22/05/2015,false
tes mobile friendly,3,0,0.0,8.7,22/05/2015,false
redirect checker bulk,3,0,0.0,7.3,22/05/2015,false
googles mobile friendly test,3,0,0.0,9.0,22/05/2015,false
mobile friendly website test,3,0,0.0,9.7,22/05/2015,false
mobile test friendly,3,0,0.0,8.0,22/05/2015,false
moblie friendly test,3,0,0.0,8.3,22/05/2015,false
mobile friendly checker google,3,0,0.0,3.3,22/05/2015,false
google mobil friendly test,3,0,0.0,14.0,22/05/2015,false
bulk http status checker,3,0,0.0,3.3,22/05/2015,false
check site mobile friendly,3,0,0.0,8.7,22/05/2015,false
check google mobile,3,0,0.0,6.0,22/05/2015,false
google friendly,3,0,0.0,34.0,22/05/2015,false
mobile frendly,3,0,0.0,13.0,22/05/2015,false
google moble friendly test,3,0,0.0,8.0,22/05/2015,false
http status check,2,0,0.0,8.5,22/05/2015,false
google’s mobile friendly test,2,0,0.0,7.0,22/05/2015,false
google mobile-friendly,2,0,0.0,20.0,22/05/2015,false
header response checker,2,0,0.0,26.0,22/05/2015,false
google mobile friendly testing tool,2,0,0.0,8.0,22/05/2015,false
mobiel friendly test,2,0,0.0,13.0,22/05/2015,false
mobile friendly testing,2,0,0.0,9.0,22/05/2015,false
mobile checker google,2,0,0.0,6.0,22/05/2015,false
check website mobile friendly,2,0,0.0,8.5,22/05/2015,false
google mobile friendly testing,2,0,0.0,7.0,22/05/2015,false
google mobile frendly test,2,0,0.0,6.0,22/05/2015,false
google mobile score,2,0,0.0,4.0,22/05/2015,false
google test friendly,2,0,0.0,9.0,22/05/2015,true
google mobile friendly check tool,2,0,0.0,4.5,22/05/2015,false
bulk check,2,0,0.0,14.0,22/05/2015,false
check mobile friendly website,2,0,0.0,9.5,22/05/2015,false
google mobile friedly test,2,0,0.0,8.5,22/05/2015,false
mobile frindly test,2,0,0.0,9.0,22/05/2015,false
check website is mobile friendly,2,0,0.0,9.5,22/05/2015,false
bulk server header checker,2,0,0.0,5.0,22/05/2015,false
google mobile test page,2,0,0.0,9.5,22/05/2015,false
google mobile site tester,2,0,0.0,8.5,22/05/2015,false
mobile friedly test,2,0,0.0,10.0,22/05/2015,false
test for mobile friendly,2,0,0.0,8.0,22/05/2015,false
mobile friendly tools,2,0,0.0,9.0,22/05/2015,false
check mobile friendliness,2,0,0.0,8.0,22/05/2015,false
mobile tool google,2,0,0.0,15.0,22/05/2015,false
google friendly mobile test,2,0,0.0,9.0,22/05/2015,false
website mobile friendly checker,2,0,0.0,7.0,22/05/2015,false
google mobile,2,0,0.0,42.0,22/05/2015,false
check if website is mobile friendly google,2,0,0.0,6.5,22/05/2015,true
bulk http checker,2,0,0.0,3.0,22/05/2015,false
google's mobile friendly,1,0,0.0,11.0,22/05/2015,true
url mobile,1,0,0.0,25.0,22/05/2015,true
google check if site is mobile friendly,1,0,0.0,8.0,22/05/2015,false
mobile friendliness tool,1,0,0.0,7.0,22/05/2015,false
mobile-friendly test google,1,0,0.0,13.0,22/05/2015,false
google mobile page checker,1,0,0.0,6.0,22/05/2015,false
website mobile checker,1,0,0.0,19.0,22/05/2015,false
mobile friend test,1,0,0.0,7.0,22/05/2015,true
google mobile friendly tst,1,0,0.0,8.0,22/05/2015,false
google mobile-friendly tool,1,0,0.0,7.0,22/05/2015,false
mobile website checker,1,0,0.0,17.0,22/05/2015,false
mbile friendly test,1,0,0.0,9.0,22/05/2015,false
how to check if website is mobile friendly,1,0,0.0,8.0,22/05/2015,false
bulkchecker,1,0,0.0,10.0,22/05/2015,false
test website for mobile friendly,1,0,0.0,8.0,22/05/2015,true
mobilefriendlytest,1,0,0.0,7.0,22/05/2015,false
mobile-friendly-test,1,0,0.0,12.0,22/05/2015,false
